name,image_src,url,table_check,qualification,expertise
พญ.กรณษา จันทร์แก้ว,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1662690156_Kornnasa.C.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=1214,"อังคาร 10:00 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5 13:00 - 20:00 น. สัปดาห์ที่ 1,2,3,4,5 พุธ 12:00 - 18:00 น. สัปดาห์ที่ 1,2,3,4,5 พฤหัสบดี 08:00 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5 ศุกร์ 13:00 - 20:00 น. สัปดาห์ที่ 1,2,3,4,5 เสาร์ 08:00 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5 13:00 - 17:00 น. สัปดาห์ที่ 1,2,3,4,5",แพทยศาสตร์บัณฑิต คณะแพทยศาสตร์ มหาวิทยาลัยสงขลานครินทร์ พ.ศ.2554วุฒิบัตรสาขากุมารเวชศาสตร์ คณะแพทยศาสตร์ โรงพยาบาลรามาธิบดี มหาวิทยาลัยมหิดล พ.ศ.2560วุฒิบัตรอนุสาขากุมารเวชศาสตร์โรคระบบการหายใจ โรงพยาบาลรามาธิบดี มหาวิทยาลัยมหิดล พ.ศ.2564,กุมารเวชศาสตร์โรคระบบหายใจ
รศ. นพ.กรภัทร มยุระสาคร,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1587710881_%E0%B8%AD.%E0%B8%99%E0%B8%9E.%E0%B8%81%E0%B8%A3%E0%B8%A0%E0%B8%B1%E0%B8%97%E0%B8%A3_%E0%B8%A1%E0%B8%A2%E0%B8%B8%E0%B8%A3%E0%B8%B0%E0%B8%AA%E0%B8%B2%E0%B8%84%E0%B8%A3.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=676,"จันทร์ 09:00 - 12:00 น. สัปดาห์ที่ 1,3,5 อังคาร 09:00 - 12:00 น. สัปดาห์ที่ 2,4 อาทิตย์ 09:00 - 12:00 น. สัปดาห์ที่ 2 09:00 - 14:00 น. สัปดาห์ที่ 3","แพทยศาสตรบัณฑิต คณะแพทยศาสตร์ จุฬาลงกรณ์มหาวิทยาลัย พ.ศ.2544วุฒิบัตรสาขาเวชศาสตร์ครอบครัว โรงพยาบาลกลาง พ.ศ.2547Certificate in Dermatology for Family Physicians, Institute of Dermatology, Department of Medical Services พ.ศ.2549Certificate in Occupational Medicine, Department of Occupational Medicine, Ministry of Public Health พ.ศ.2547Certificate in Health Research, Institute of Health Research จุฬาลงกรณ์มหาวิทยาลัย พ.ศ.2549Postdoctoral Research Fellow with Richard J. Deckelbaum, M.D., Institute of Human Nutrition, Department of Pediatrics, Columbia University Medical Center พ.ศ.2556Postdoctoral Research Fellow with Gordon H. Williams, M.D., Division of Endocrinology, Hypertension and Diabetes, Brigham and Women's Hospital, Harvard Medical School พ.ศ.2557",เวชศาสตร์ครอบครัว
อ. พญ.กรมิกา วินิจกุล,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1587712264_%E0%B8%AD.%E0%B8%9E%E0%B8%8D.%E0%B8%81%E0%B8%A3%E0%B8%A1%E0%B8%B4%E0%B8%81%E0%B8%B2_%E0%B8%A7%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%88%E0%B8%81%E0%B8%B8%E0%B8%A5.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=312,"พุธ 17:00 - 18:00 น. สัปดาห์ที่ 1,2,3,4,5 ศุกร์ 17:30 - 18:30 น. สัปดาห์ที่ 1,2,3,4,5 อาทิตย์ 09:00 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5 14:00 - 15:00 น. สัปดาห์ที่ 1,2,3,4,5",,กุมารเวชศาสตร์พัฒนาการและพฤติกรรมเด็ก
ศ.คลินิกเกียรติคุณ นพ.กริช โพธิสุวรรณ,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1587709041_%E0%B8%A8.%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81%E0%B9%80%E0%B8%81%E0%B8%B5%E0%B8%A2%E0%B8%A3%E0%B8%95%E0%B8%B4%E0%B8%84%E0%B8%B8%E0%B8%93_%E0%B8%99%E0%B8%9E.%E0%B8%81%E0%B8%A3%E0%B8%B4%E0%B8%8A_%E0%B9%82%E0%B8%9E%E0%B8%98%E0%B8%B4%E0%B8%AA%E0%B8%B8%E0%B8%A7%E0%B8%A3%E0%B8%A3%E0%B8%93.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=279,"อังคาร 09:30 - 12:00 น. สัปดาห์ที่ 3,4,5 09:30 - 12:05 น. สัปดาห์ที่ 1",,ศัลยศาสตร์ศีรษะ คอ และเต้านม
ศ. นพ.กฤตย์วิกรม ดุรงค์พิศิษฏ์กุล,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1587624014_%E0%B8%A8.%E0%B8%99%E0%B8%9E.%E0%B8%81%E0%B8%A4%E0%B8%95%E0%B8%A2%E0%B9%8C%E0%B8%A7%E0%B8%B4%E0%B8%81%E0%B8%A3%E0%B8%A1_%E0%B8%94%E0%B8%B8%E0%B8%A3%E0%B8%87%E0%B8%84%E0%B9%8C%E0%B8%9E%E0%B8%B4%E0%B8%A8%E0%B8%B4%E0%B8%A9%E0%B8%8F%E0%B9%8C%E0%B8%81%E0%B8%B8%E0%B8%A5.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=1,"จันทร์ 13:00 - 13:40 น. สัปดาห์ที่ 1,2,3,4,5 พฤหัสบดี 08:00 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5 ศุกร์ 08:00 - 11:50 น. สัปดาห์ที่ 1,2,3,4,5 อาทิตย์ 08:30 - 12:20 น. สัปดาห์ที่ 1,2,3",แพทยศาสตร์บัณฑิต คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดลAmerican Board of Internal Medicine : Adult congenital Heart Disease.American Board of Pediatric CardiologyAmerican Board of Pediatricวุฒิบัตรสาขากุมารเวชศาสตร์ แพทยสภาวุฒิบัตรสาขาเวชศาสตร์ครอบครัว แพทยสภาวุฒิบัตรอนุสาขากุมารเวชศาสตร์โรคหัวใจ แพทยสภา,"การรักษาโรคหัวใจแต่กำเนิดและความผิดปกติในหัวใจโดยการสวนหัวใจแทนการผ่าตัดในเด็กและผู้ใหญ่, โรคความดันหลอดเลือดแดงปอดสูง"
ผศ. พญ.กฤติกา ธีระพันธ์เจริญ,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1587710414_%E0%B8%AD.%E0%B8%9E%E0%B8%8D.%E0%B8%81%E0%B8%A4%E0%B8%95%E0%B8%B4%E0%B8%81%E0%B8%B2_%E0%B8%98%E0%B8%B5%E0%B8%A3%E0%B8%B0%E0%B8%9E%E0%B8%B1%E0%B8%99%E0%B8%98%E0%B9%8C%E0%B9%80%E0%B8%88%E0%B8%A3%E0%B8%B4%E0%B8%8D.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=681,,"แพทยศาสตร์บัณฑิต (เกียรตินิยมอันดับ 1) คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2550Internal Medicine Residency training, American Board of Internal Medicine, Albert einstein medical center ประเทศสหรัฐอเมริกา พ.ศ.2556Pulmonary and Critical care Fellowship Training, American Board of Internal Medicine in Pulmonary Diseases พ.ศ.2558Pulmonary and Critical care Fellowship Training, American Board of Internal Medicine in Critical care medicine พ.ศ.2559Master of science in Public Health in Epidemidosy, School of Public health university of Alabama at Birmingham พ.ศ.2559",การดูแลปอดและวิกฤต
รศ. พญ.กฤติยา กอไพศาล,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1587708027_%E0%B8%9C%E0%B8%A8.%E0%B8%9E%E0%B8%8D.%E0%B8%81%E0%B8%A4%E0%B8%95%E0%B8%B4%E0%B8%A2%E0%B8%B2-%E0%B8%81%E0%B8%AD%E0%B9%84%E0%B8%9E%E0%B8%A8%E0%B8%B2%E0%B8%A5.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=705,"ศุกร์ 07:00 - 08:00 น. สัปดาห์ที่ 1,2,3,4,5 เสาร์ 08:00 - 12:00 น. สัปดาห์ที่ 2","แพทยศาสตร์บัณฑิต (เกียรตินิยมอันดับ 1) คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2547แพทย์ประจำบ้าน สาขาอายุรศาสตร์ คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2553เฟลโลว์สาขาอายุรศาสตร์เคมีบำบัด คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2555Visiting Scientist, Department of Gastrointestinal Medical Oncology, University of Texas MD Anderson Cancer, Texas ประเทศสหรัฐอเมริกา พ.ศ.2560",เคมีบำบัด
รศ. นพ.กฤษฎี ประภาสะวัต,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1587692973_%E0%B8%A3%E0%B8%A8.%E0%B8%99%E0%B8%9E.%E0%B8%81%E0%B8%A4%E0%B8%A9%E0%B8%8E%E0%B8%B5_%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%A0%E0%B8%B2%E0%B8%AA%E0%B8%B0%E0%B8%A7%E0%B8%B1%E0%B8%95.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=96,"อังคาร 09:00 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5",,รังสีวินิจฉัย
พญ.กวิตา อธิภาส,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1672908153_Retouch.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=1230,"พฤหัสบดี 16:30 - 20:00 น. สัปดาห์ที่ 1,2,3,4,5 เสาร์ 09:00 - 12:00 น. สัปดาห์ที่ 3 09:00 - 12:00 น. สัปดาห์ที่ 1,2,4 09:00 - 16:00 น. สัปดาห์ที่ 5",แพทยศาสตร์บัณฑิต (เกียรตินิยมอันดับ 1) คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2560วุฒิบัตรสาขาโสต ศอ นาสิกวิทยา คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2564ประกาศนียบัตรด้านนาสิกวิทยาและโรคภูมิแพ้ ณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2565,โรคจมูกและโรคภูมิแพ้
ผศ. นพ.กวีวรรณ ลิ้มประยูร,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1587629673_%E0%B8%9C%E0%B8%A8.%E0%B8%99%E0%B8%9E._%E0%B8%81%E0%B8%A7%E0%B8%B5%E0%B8%A7%E0%B8%A3%E0%B8%A3%E0%B8%93_%E0%B8%A5%E0%B8%B4%E0%B9%89%E0%B8%A1%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%A2%E0%B8%B9%E0%B8%A3.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=3,"พฤหัสบดี 17:00 - 20:00 น. สัปดาห์ที่ 1,2,3,4,5",โรคมือ เท้า ปาก(hand-foot-and-mouth disease),เวชบำบัดวิกฤต
รศ. นพ.ก้องเขต เหรียญสุวรรณ,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1587704273_%E0%B8%A3%E0%B8%A8.%E0%B8%99%E0%B8%9E.%E0%B8%81%E0%B9%89%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%82%E0%B8%95_%E0%B9%80%E0%B8%AB%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B8%8D%E0%B8%AA%E0%B8%B8%E0%B8%A7%E0%B8%A3%E0%B8%A3%E0%B8%93.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=196,"พุธ 17:00 - 19:00 น. สัปดาห์ที่ 1,2,4 17:00 - 19:00 น. สัปดาห์ที่ 5 อาทิตย์ 09:00 - 12:00 น. สัปดาห์ที่ 2,4","แพทยศาสตร์บัณฑิต คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2540Internship โรงพยาบาลสมเด็จพระนางเจ้าสิริกิติ์ พ.ศ.2541แพทย์ประจำบ้าน สาขาศัลยศาสตร์ออร์โธปิดิกส์ คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2545Certified of Fellowship, Orthopaedic Trauma and Adult Reconstruction, Columbia Universityประเทศสหรัฐอเมริกา พ.ศ.2550Certified of Fellowship, Orthopaedic Trauma, Hannover Medical Schoolประเทศเยอรมนี พ.ศ.2550",การบาดเจ็บทางกระดูก และการผ่าตัดเสริมสร้างผู้ใหญ่
รศ. พญ.กอบกุล เมืองสมบูรณ์,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1587693007_%E0%B8%A3%E0%B8%A8.%E0%B8%9E%E0%B8%8D.%E0%B8%81%E0%B8%AD%E0%B8%9A%E0%B8%81%E0%B8%B8%E0%B8%A5_%E0%B9%80%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%87%E0%B8%AA%E0%B8%A1%E0%B8%9A%E0%B8%B9%E0%B8%A3%E0%B8%93%E0%B9%8C.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=97,"ศุกร์ 09:00 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5",,รังสีวินิจฉัย
รศ. พญ.กอบหทัย สิทธิรณฤทธิ์,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1587631379_%E0%B8%9C%E0%B8%A8.%E0%B8%9E%E0%B8%8D.%E0%B8%81%E0%B8%AD%E0%B8%9A%E0%B8%AB%E0%B8%97%E0%B8%B1%E0%B8%A2_%E0%B8%AA%E0%B8%B4%E0%B8%97%E0%B8%98%E0%B8%B4%E0%B8%A3%E0%B8%93%E0%B8%A4%E0%B8%97%E0%B8%98%E0%B8%B4%E0%B9%8C.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=31,"พฤหัสบดี 13:30 - 17:00 น. สัปดาห์ที่ 2,4,5 ศุกร์ 13:30 - 17:00 น. สัปดาห์ที่ 1,3,5","แพทยศาสตรบัณฑิต คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2543ประกาศนียบัตรบัณฑิตทางวิทยาศาสตร์การแพทย์คลินิก (จิตเวชศาสตร์) คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2545Satir Systemic Brief Therapy Workshop, ราชวิทยาลัยจิตแพทย์แห่งประเทศไทย พ.ศ.2546วุฒิบัตรแสดงความรู้ความชำนาญในการประกอบวิชาชีพเวชกรรม สาขาจิตเวชศาสตร์ แพทยสภา พ.ศ.2547Course on Leadership & Professional Skills Development for Young Psychiatrists, Association for the Improvement of Mental Health Programmes, Hong Kong พ.ศ. 2550Certificate of Completion in Fellowship Training (Aged Psychiatry), Postgraduate Oversea Specialists Training (POST) Program, St. Vincent’s Mental Health and the Department of Psychiatry, The University of Melbourne, Australia พ.ศ.2552อนุมัติบัตรแสดงความรู้ความชำนาญในการประกอบวิชาชีพเวชกรรม อนุสาขาจิตเวชศาสตร์ผู้สูงอายุ แพทยสภา พ.ศ.2561",จิตเวชศาสตร์ผู้สูงอายุ
อ. พญ.กัณฑริดา ศรีพานิชกุลชัย,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1698918498_%E0%B8%81%E0%B8%B1%E0%B8%93%E0%B8%91%E0%B8%A3%E0%B8%B4%E0%B8%94%E0%B8%B2.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=1218,"จันทร์ 16:00 - 19:00 น. สัปดาห์ที่ 1,2,3,4,5 อังคาร 16:00 - 19:00 น. สัปดาห์ที่ 2,3,4,5 16:00 - 19:00 น. สัปดาห์ที่ 1",,อายุรศาสตร์โรคติดเชื้อ
ผศ. พญ.กัณห์ชลิต ถนอมกิตติ,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1587710103_%E0%B8%AD.%E0%B8%9E%E0%B8%8D.%E0%B8%81%E0%B8%B1%E0%B8%93%E0%B8%AB%E0%B9%8C%E0%B8%8A%E0%B8%A5%E0%B8%B4%E0%B8%95_%E0%B8%96%E0%B8%99%E0%B8%AD%E0%B8%A1%E0%B8%81%E0%B8%B4%E0%B8%95%E0%B8%95%E0%B8%B4.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=686,"จันทร์ 09:30 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5 ศุกร์ 13:00 - 15:30 น. สัปดาห์ที่ 2,4 13:00 - 15:30 น. สัปดาห์ที่ 3,5 เสาร์ 09:30 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5",แพทยสภาสมาคมแพทย์ผิวหนังราชวิทยาลัยอายุรแพทย์แห่งประเทศไทย,ความผิดปกติของเส้นผม หนังศีรษะ  และการปลูกผม
